#{"t_start": 1749649389.5467753, "env_id": "None"}
r,l,t
0.0,1,22.12259
0.0,1,22.149248
0.0,1,22.173945
0.0,1,22.198838
0.0,1,22.223399
0.0,1,49.108569
0.0,1,49.146945
0.0,1,49.185735
0.0,1,49.223661
0.0,1,49.261388
0.0,1,77.584501
0.0,1,77.622549
0.0,1,77.662729
0.0,1,77.702071
0.0,1,77.742383
